PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,HARBORSIZE,HARBORTYPE,MAX_VESSEL
MANISTEE,US,44.250000,-86.316667,S,RN,M
LUDINGTON,US,43.950000,-86.450000,S,RN,
WHITE LAKE,US,43.383333,-86.350000,S,RN,M
MUSKEGON,US,43.233333,-86.266667,S,RN,M
ZHAPU,CN,30.583333,121.083333,S,OR,M
SANYA,CN,18.316667,109.450000,V,OR,M
YANGPU,CN,19.733333,109.183333,V,CB,M
CHIWAN,CN,19.966667,110.033333,V,CB,M
SHUI DONG,CN,21.483333,111.083333,V,CB,M
ZHUHAI,CN,22.233333,113.583333,V,CB,M
QINZHOU,CN,21.733333,108.583333,V,CN,L
HUANGPU,CN,23.083333,113.416667,S,RN,M
CHANGZHOU,CN,31.966667,119.983333,S,OR,M
HANKO,FI,59.816667,22.950000,S,CB,M
TOREHAMN,SE,65.900000,22.650000,V,CN,M
TARAKOHE,NZ,-40.850000,172.900000,V,CN,M
KOPMANHOLMEN,SE,63.166667,18.583333,V,CN,M
BAKAPIT,MY,4.950000,118.583333,V,CN,M
ORNSKOLDSVIK,SE,63.283333,18.716667,S,CB,M
HUSUM,SE,63.333333,19.150000,V,CN,M
RUNDVIK,SE,63.533333,19.450000,V,CN,M
NORDMALING,SE,63.566667,19.483333,V,CN,M
BINTANGOR,MY,2.166667,111.633333,V,RN,
MOSTYN,MY,4.683333,118.250000,V,OR,
KEMAMAN HARBOR,MY,4.250000,103.466667,V,CN,L
UMEA HAMN,SE,63.700000,20.350000,S,CB,M
TG. MANI,MY,2.150000,111.350000,V,RN,M
GUMBODAHAMN,SE,64.233333,21.100000,V,RB,
TANJUNG PELEPAS,MY,1.350000,103.550000,M,RB,L
BONGKOT TERMINAL,TH,8.050000,102.333333,V,OR,L
VUNG TAU,VN,10.350000,107.066667,S,RN,L
SKELLEFTEHAMN,SE,64.683333,21.233333,S,CN,M
KAGEHAMN,SE,64.833333,21.033333,V,CN,M
PATTANI,TH,6.950000,101.300000,S,CN,
TANTAWAN MARINE TERMINAL,TH,10.083333,101.416667,V,OR,M
BRANNFORS,SE,65.016667,21.383333,V,CN,M
BANG SAPHAN,TH,11.183333,99.600000,V,CN,M
KHANOM,TH,9.200000,99.900000,V,CN,
LAEM CHABANG,TH,13.083333,100.883333,S,CB,L
PITEA,SE,65.316667,21.483333,S,CN,M
ERAWAN TERMINAL,TH,9.100000,101.350000,V,OR,L
BENCHAMAS TERMINAL,TH,10.516667,101.250000,V,OR,L
LULEA,SE,65.583333,22.166667,M,CN,M
SI RACHA,TH,13.166667,100.916667,M,OR,L
MAP TA PHUT,TH,12.666667,101.166667,V,CB,L
GAVLE,SE,60.683333,17.166667,S,CN,M
COLON,AR,-32.216667,-58.133333,V,RN,
LA PLATA,AR,-34.833333,-57.883333,M,RB,L
DEGRAD DES CANNES,GF,4.850000,-52.266667,V,RN,L
PORTO SANTANA,BR,-0.050000,-51.183333,V,RN,L
LAUTOKA HARBOR,FJ,-17.600000,177.450000,V,CB,M
SUVA HARBOR,FJ,-18.133333,178.416667,S,CN,L
LEVUKA,FJ,-17.683333,178.833333,S,CN,M
MALAI,FJ,-16.350000,179.366667,V,CB,
SAVUSAVU BAY,FJ,-16.766667,179.333333,V,OR,M
NUKU ALOFA,TO,-21.133333,-175.200000,V,CN,M
PANGAI,TO,-19.800000,-174.350000,V,CN,M
NEIAFU,TO,-18.650000,-173.983333,V,CN,M
FUNAFUTI ATOLL,TV,-8.516667,179.133333,V,CN,M
PORT BONYTHON,AU,-33.016667,137.766667,S,OR,M
PORT LINCOLN,AU,-34.716667,135.850000,M,CB,M
THEVENARD,AU,-32.166667,133.650000,S,CN,M
ESPERANCE,AU,-33.866667,121.900000,V,CB,M
ALBANY,AU,-35.033333,117.883333,S,CN,M
BUNBURY,AU,-33.316667,115.633333,S,CB,M
FREMANTLE,AU,-32.050000,115.750000,L,CB,M
GERALDTON,AU,-28.783333,114.600000,V,CB,M
POINT MURAT,AU,-21.816667,114.183333,V,OR,L
ONSLOW,AU,-21.650000,115.100000,V,OR,
PORT WALCOTT,AU,-20.650000,117.183333,V,OR,M
DAMPIER,AU,-20.633333,116.716667,M,CB,M
PORT HEDLAND,AU,-20.316667,118.583333,S,RN,L
BROOME,AU,-17.966667,122.233333,S,CN,M
WYNDHAM,AU,-15.466667,128.100000,V,RN,M
DARWIN,AU,-12.466667,130.850000,M,CN,M
AIGIO,GR,38.250000,22.083333,V,OR,M
PATRAI,GR,38.250000,21.733333,S,CB,L
KATAKOLON,GR,37.650000,21.316667,V,CB,M
PILOS,GR,36.900000,21.666667,V,CN,M
KALAMATA,GR,37.016667,22.116667,S,CB,M
YITHION,GR,36.750000,22.566667,V,OR,M
NAVPLIO,GR,37.566667,22.800000,V,CB,M
MEGARA OIL TERMINAL,GR,37.966667,23.400000,V,OR,L
AYIOS NIKOLAOS,GR,37.983333,23.533333,V,CB,
ELEVSIS,GR,38.033333,23.550000,S,OR,L
PAKHI OIL TERMINAL,GR,37.966667,23.383333,V,OR,M
PERAMA,GR,37.966667,23.566667,S,OR,L
NIIGATA KO,JP,37.916667,139.050000,M,RB,L
RYOTU KO,JP,38.083333,138.566667,V,CN,L
SAKATA KO,JP,38.933333,139.816667,S,CT,L
AKITA-FUNAKAWA KO,JP,39.833333,140.000000,V,CB,L
HANNAN KO,JP,34.466667,135.350000,S,CN,M
TAKAMATSU,JP,34.350000,134.050000,V,CB,L
KOMATSUSHIMA,JP,34.016667,134.600000,S,CB,
TACHIBANA,JP,33.866667,134.666667,V,CB,L
KOCHI KO,JP,33.500000,133.566667,M,CN,M
SUSAKI KO,JP,33.383333,133.300000,V,CB,L
UWAJIMA KO,JP,33.216667,132.566667,V,CN,
YAWATAHAMA,JP,33.450000,132.416667,V,CN,M
MATSUYAMA,JP,33.850000,132.700000,S,CB,L
KIKUMA KO,JP,34.033333,132.833333,V,CB,L
MUTUREZIMA KO,JP,33.966667,130.866667,S,OR,L
IMABARI KO,JP,34.066667,133.016667,S,CB,M
NIIHAMA,JP,33.983333,133.283333,S,CB,L
MISHIMA-KAWANOE KO,JP,34.000000,133.550000,S,CN,L
MALE,MV,4.166667,73.500000,V,CN,M
ABADAN,IR,30.333333,48.283333,M,RN,M
MINA RAYSUT,OM,16.933333,54.016667,S,CB,L
MINA QABUS,OM,23.633333,58.583333,V,CB,M
MINA AL FAHL,OM,23.633333,58.516667,S,OR,M
FUJAYRAH HARBOR,AE,25.166667,56.333333,S,CB,L
KHAWR FAKKAN,AE,25.350000,56.383333,M,CN,L
MINA SAQR,AE,25.983333,56.050000,V,CB,M
FATEH OIL TERMINAL,AE,25.583333,54.416667,V,OR,L
MUBARRAZ OIL TERMINAL,AE,24.433333,53.516667,S,OR,L
AL HAMRIYAH LPG TERMINAL,AE,25.466667,55.483333,S,CB,L
DUBAYY,AE,25.266667,55.300000,S,CB,L
MINA JABAL ALI,AE,25.016667,55.050000,L,CB,L
JAZIRAT DAS,AE,25.150000,52.866667,V,OR,M
ABU ZABY,AE,24.500000,54.333333,M,CB,L
UMM AN NAR,AE,24.450000,54.483333,V,RN,M
JABAL AZ ZANNAH/RUWAYS,AE,24.200000,52.700000,M,CB,L
UMM SAID,QA,24.916667,51.566667,S,OR,M
DOHA,QA,25.283333,51.533333,S,CN,M
NANTONG,CN,32.000000,120.800000,S,RN,M
ZHANGJIANGANG,CN,31.966667,120.400000,S,RN,M
DAESAN HANG,KR,37.016667,126.400000,V,OR,
VOSTOCHNYY,RU,42.750000,133.083333,V,OR,M
ATSUMI,JP,34.666667,137.066667,V,CN,M
SLAVYANKA,RU,42.866667,131.383333,S,CN,
O0KIHAMA,JP,34.750000,134.566667,V,CN,M
ISIKARI WAN,JP,43.233333,141.366667,V,CB,
TSURUGA KO,JP,35.650000,136.066667,S,CB,L
NAOETSU KO,JP,37.183333,138.250000,V,CB,L
BELEKERI,IN,14.700000,74.266667,V,OR,M
PANAJI,IN,15.500000,73.816667,V,CN,M
VADINAR TERMINAL,IN,22.516667,69.700000,V,OR,L
NAKAGUSUKU,JP,26.266667,127.916667,S,OR,L
AOKATA,JP,32.983333,129.066667,V,OR,
FUKUI,JP,36.066667,136.200000,V,OR,
KASHIWAZAKI,JP,37.366667,138.550000,V,CN,
HABU KO,JP,34.283333,133.183333,V,CB,L
NISHIHARA,JP,26.216667,127.800000,V,OR,L
ONODA,JP,34.000000,131.183333,S,OR,
SHINGU,JP,33.666667,135.983333,V,CB,L
TAKUMA,JP,34.216667,133.683333,S,RB,L
TOKACHI,JP,42.250000,143.300000,V,CB,
TONDA,JP,34.033333,131.750000,S,CB,
UCHIURA,JP,35.516667,135.500000,V,CN,
MCMURDO STATION,AQ,-77.850000,166.650000,S,CN,
PUERTO MORRO REDONDO,MX,28.050000,-115.183333,V,OR,L
PICHILINGUE,MX,24.266667,-110.333333,S,CB,L
PUERTO COLON,PA,9.366667,-79.883333,M,CB,M
CHARCO AZUL,PA,8.216667,-82.866667,V,OR,L
HIRTSHALS,DK,57.600000,9.966667,V,CB,M
HANSTHOLM,DK,57.133333,8.600000,V,CB,M
NYKOBING (FALSTER),DK,54.766667,11.866667,S,RN,M
ROSTOCK,DE,54.100000,12.133333,L,RN,M
WISMAR,DE,53.900000,11.466667,S,CN,M
LUBECK-TRAVEMUNDE,DE,53.966667,10.883333,S,RN,L
LUBECK,DE,53.883333,10.700000,M,LC,M
NEUSTADT,DE,54.100000,10.816667,V,RN,M
HEILIGENHAFEN,DE,54.366667,10.983333,V,CB,M
KIEL,DE,54.316667,10.133333,L,RB,M
HAKODATE KO,JP,41.783333,140.716667,M,CB,L
ESASI KO,JP,41.866667,140.116667,V,CB,
OTARU KO,JP,43.200000,141.016667,M,CB,L
RUMOI KO,JP,43.950000,141.633333,V,CB,L
WAKKANAI,JP,43.416667,141.683333,S,CB,L
AOMORI KO,JP,40.833333,140.750000,S,CB,L
HACHINOHE KO,JP,40.533333,141.550000,S,CB,L
MIYAKO,JP,39.633333,141.983333,S,CB,L
KAMAISHI KO,JP,39.266667,141.900000,S,CN,L
OFUNATO,JP,39.050000,141.733333,S,CN,L
KESENNUMA KO,JP,38.866667,141.600000,V,CN,M
ONAGAWA,JP,38.450000,141.450000,V,CB,
ISHINOMAKI KO,JP,38.400000,141.316667,V,CN,L
SENDAI-SHIOGAMA,JP,38.316667,141.033333,S,CN,L
ONAHAMA KO,JP,36.933333,140.900000,S,CB,L
HITACHI,JP,36.500000,140.633333,V,RB,L
KASHIMA KO,JP,35.933333,140.700000,S,CB,L
CHOSHI,JP,35.733333,140.850000,V,RN,L
TATEYAMA KO,JP,35.000000,139.800000,V,CN,
KISARAZU KO,JP,35.366667,139.883333,V,CB,L
CHIBA KO,JP,35.583333,140.066667,S,CB,L
KATSUNAN KO,JP,35.666667,139.983333,S,CB,L
KAWASAKI KO,JP,35.500000,139.766667,L,CB,L
YOKOHAMA KO,JP,35.450000,139.583333,L,CB,L
MYS ROGATYY OKTYABRSKIY,RU,50.733333,142.100000,V,OR,
POHANG,KR,36.050000,129.383333,S,OR,L
MUKHO,KR,37.566667,129.116667,V,CB,M
SOKCH'O HANG,KR,38.200000,128.600000,V,CB,
RICHARDS BAY,ZA,-28.816667,32.083333,M,CB,M
MAPUTO,MZ,-25.966667,32.583333,M,LC,M
CHINDE,MZ,-18.566667,36.500000,S,RN,M
QUELIMANE,MZ,-17.883333,36.883333,V,RN,M
MOCAMBIQUE,MZ,-15.033333,40.733333,S,CN,
NACALA,MZ,-14.533333,40.666667,V,CN,L
PIRAIEVS,GR,37.933333,23.650000,L,CB,L
ORMOS MIKRO VATHI,GR,38.433333,23.600000,V,CN,M
DUBROVNIK,HR,42.666667,18.083333,S,CN,M
PORTO DI BARLETTA,IT,41.316667,16.283333,V,CB,M
MANFREDONIA,IT,41.616667,15.916667,S,CB,M
VASTO,IT,42.116667,14.716667,V,CB,M
ORTONA,IT,42.350000,14.416667,S,CB,M
PESCARA,IT,42.466667,14.216667,S,CB,M
ANCONA,IT,43.616667,13.500000,S,CB,L
PORTO DI CORSINI,IT,44.500000,12.283333,M,LC,M
PORTO DI MALAMOCCO,IT,45.333333,12.316667,V,LC,M
PORTO DI LIDO-VENEZIA,IT,45.416667,12.433333,L,CB,L
MONFALCONE,IT,45.783333,13.550000,M,RB,L
TRIESTE,IT,45.650000,13.766667,L,CB,L
MUGGIA,IT,45.600000,13.766667,V,CB,
KOPER,SI,45.550000,13.733333,S,CN,M
PIRAN,SI,45.533333,13.566667,V,CB,
UMAG,HR,45.433333,13.516667,V,CB,M
ROVINJ,HR,45.083333,13.633333,S,CB,
PULA,HR,44.883333,13.800000,V,CB,L
BRSICA,HR,45.033333,14.050000,V,CN,
RIJEKA LUKA,HR,45.333333,14.433333,L,RB,M
BAKAR,HR,45.300000,14.533333,S,CN,L
OMISALJ,HR,45.216667,14.550000,S,CN,L
SENJ,HR,44.983333,14.900000,V,CN,M
ZADAR,HR,44.116667,15.216667,S,CN,M
SIBENIK,HR,43.733333,15.883333,S,CN,M
MOLFETTA,IT,41.216667,16.600000,S,CB,M
SPLIT,HR,43.500000,16.433333,L,CB,L
PLOCE,HR,43.050000,17.433333,V,CN,M
TORRE ANNUNZIATA,IT,40.750000,14.450000,S,CB,M
MILNER BAY,AU,-13.866667,136.416667,V,OR,M
WEIPA,AU,-12.666667,141.866667,V,CN,M
GOVE,AU,-12.200000,136.700000,V,OR,L
KARUMBA,AU,-17.483333,140.833333,V,RN,
HOBART,AU,-42.883333,147.333333,M,RN,L
PORT HUON,AU,-43.166667,146.983333,V,RN,L
DOVER,AU,-43.316667,147.033333,V,CN,
STANLEY,AU,-40.766667,145.283333,V,CB,L
PORT LATTA,AU,-40.833333,145.383333,V,OR,M
BURNIE,AU,-41.050000,145.950000,S,CB,M
WHYALLA,AU,-33.033333,137.583333,S,CB,M
BALLINA,AU,-28.866667,153.566667,S,RN,M
NEWCASTLE,AU,-32.916667,151.783333,L,CB,L
JAZIRAT HALUL,QA,25.683333,52.416667,V,OR,L
SITRAH,BH,26.166667,50.666667,M,OR,M
MINA SALMAN,BH,26.200000,50.633333,M,CN,M
DAMMAM,SA,26.500000,50.200000,S,CB,L
AL JUBAYL,SA,27.083333,49.666667,V,CB,M
RAS  TANNURAH,SA,26.633333,50.166667,M,OR,L
JU AYMAH OIL TERMINAL,SA,26.933333,50.033333,S,OR,L
MINA AZ ZAWR,KW,28.733333,48.400000,V,OR,M
MINA ASH SHUAYBAH,KW,29.033333,48.166667,M,OR,M
MINA ABD ALLAH,KW,29.016667,48.166667,S,OR,M
MINA AL AHMADI,KW,29.066667,48.166667,M,OR,M
KHAWR AL AMAYA,IQ,29.783333,48.800000,V,OR,M
AL-BASRA OIL TERMINAL,IQ,29.683333,48.816667,V,OR,L
UMM QASR,IQ,30.016667,47.950000,S,RN,M
AL BASRAH,IQ,30.516667,47.833333,M,RN,M
KHORRAMSHAHR,IR,30.433333,48.183333,M,RN,M
AL AHMADI,YE,14.833333,42.966667,S,CB,M
ADEN,YE,12.783333,44.950000,M,CN,M
AL MUKALLA,YE,14.516667,49.116667,S,CB,L
DUBLIN,IE,53.350000,-6.250000,M,CB,L
GREENORE,IE,54.033333,-6.133333,V,CN,L
SILLOTH,GB,54.866667,-3.400000,S,CT,M
WORKINGTON,GB,54.566667,-3.633333,V,RT,M
BARROW IN FURNESS,GB,54.116667,-3.233333,M,CT,M
HEYSHAM,GB,54.033333,-2.916667,V,CB,M
FLEETWOOD,GB,53.916667,-3.016667,S,RT,M
LIVERPOOL,GB,53.416667,-3.000000,L,RT,L
MANCHESTER,GB,53.483333,-2.266667,L,RT,M
RATHMULLAN,IE,55.100000,-7.533333,V,CN,
KILLYBEGS,IE,54.633333,-8.450000,V,CN,L
MALLAIG,GB,57.000000,-5.816667,V,CN,M
TOBERMORY,GB,56.616667,-6.066667,V,CN,M
CRAIGNURE,GB,56.466667,-5.700000,V,CN,
CORPACH,GB,56.850000,-5.116667,S,CN,
OBAN,GB,56.416667,-5.466667,S,CN,
PORT ELLEN,GB,55.633333,-6.200000,V,OR,M
CRINAN (CANAL),GB,56.083333,-5.566667,V,LC,M
CAMPBELTOWN,GB,55.433333,-5.600000,S,CN,M
LAMLASH HARBOR,GB,55.533333,-5.116667,V,OR,L
ECKERNFORDE,DE,54.483333,9.833333,S,RB,M
KAPPELN,DE,54.666667,9.933333,V,RN,M
FLENSBURG,DE,54.800000,9.433333,S,RB,M
NEKSO,DK,55.066667,15.133333,V,CB,M
RONNE,DK,55.100000,14.700000,S,CB,L
HASLE,DK,55.183333,14.700000,V,CB,M
CHRISTIANSO HARBOR,DK,55.316667,15.183333,V,CB,M
FAKSE LADEPLADS HAVN,DK,55.216667,12.166667,V,CB,M
KOGE,DK,55.450000,12.200000,V,CB,M
KOBENHAVN,DK,55.700000,12.616667,L,CB,L
TUBORG,DK,55.716667,12.583333,V,CB,M
HELSINGOR,DK,56.033333,12.616667,V,CB,L
FREDERIKSVAERK,DK,55.966667,12.016667,V,CB,M
FREDERIKSSUND,DK,55.833333,12.050000,V,CB,M
KYNDBYVAERKETS HAVN,DK,55.816667,11.883333,V,CB,M
HOLBAEK,DK,55.716667,11.716667,V,CB,M
KALUNDBORG,DK,55.683333,11.100000,S,CB,L
KORSOR,DK,55.333333,11.133333,S,CB,M
SKAELSKOR,DK,55.250000,11.300000,V,CB,M
STIGSNAESVAERKET,DK,55.200000,11.250000,V,OR,M
NAESTVED,DK,55.233333,11.750000,S,RB,M
VORDINGBORG,DK,55.000000,11.900000,V,CN,M
STUBBEKOBING,DK,54.883333,12.050000,S,CB,M
STEGE,DK,54.983333,12.283333,V,CB,M
STRALSUND,DE,54.316667,13.100000,V,CB,M
HELSINKI,FI,60.166667,24.966667,L,CB,L
PORVOO,FI,60.300000,25.633333,V,RN,L
LOVIISA,FI,60.450000,26.233333,V,CN,M
KOTKA,FI,60.466667,26.966667,L,CB,M
HAMINA,FI,60.566667,27.200000,S,CN,L
VYBORG,RU,60.716667,28.750000,M,CN,M
GAVAN VYSOTSK,RU,60.616667,28.566667,S,LC,M
PRIMORSK,RU,60.366667,28.633333,V,OR,M
SANKT-PETERBURG,RU,59.933333,30.300000,L,CB,M
PUERTO DEL CALLAO,PE,-12.050000,-77.150000,M,CB,L
BAHIA DE ANCON,PE,-11.750000,-77.183333,V,OR,M
CHANCAY,PE,-11.583333,-77.250000,V,OR,
PUERTO DE HUACHO,PE,-11.116667,-77.616667,V,OR,
PUERTO SUPE,PE,-10.800000,-77.750000,V,OR,L
PUNTA LOBITOS (BAHIA DE HUARMEY),PE,-10.100000,-78.166667,V,OR,
PUERTO DE CHIMBOTE,PE,-9.083333,-78.616667,V,CN,L
SALAVERRY,PE,-8.233333,-78.983333,V,CB,L
PIMENTAL,PE,-6.833333,-79.933333,V,OR,M
MIKINDANI,TZ,-10.266667,40.133333,V,CN,
MTWARA,TZ,-10.266667,40.200000,V,CB,L
DAR ES SALAAM,TZ,-6.816667,39.300000,M,CN,L
CHAKE CHAKE,TZ,-5.250000,39.766667,S,CN,M
MOMBASA,KE,-4.066667,39.666667,M,CT,M
KILIFI,KE,-3.633333,39.866667,V,OR,M
MALINDI,KE,-3.216667,40.133333,S,CN,M
MARKA,SO,1.716667,44.783333,V,OR,
MUQDISHO,SO,2.033333,45.350000,L,CB,L
FOMBONI,KM,-12.266667,43.750000,V,OR,M
MOUTSAMOUDU,KM,-12.150000,44.400000,V,OR,M
MAHAJANGA,MG,-15.716667,46.300000,V,CN,L
SALDANHA BAY,ZA,-33.033333,17.966667,M,CB,L
CAPE TOWN,ZA,-33.916667,18.416667,L,CB,L
OKRIKA,NG,4.716667,7.083333,V,RN,L
PORT HARCOURT,NG,4.766667,7.000000,V,RN,L
ANTAN OIL TERMINAL,NG,4.216667,8.333333,S,OR,L
CALABAR,NG,4.966667,8.316667,V,RN,L
UIG,GB,57.583333,-6.350000,V,CN,
LOCHMADDY,GB,57.600000,-7.166667,V,CN,M
CASTLE BAY,GB,56.950000,-7.483333,V,CN,
LOCHBOISDALE,GB,57.150000,-7.300000,V,CN,M
STORNOWAY HARBOR,GB,58.183333,-6.366667,V,CN,M
TARBERT,GB,57.900000,-6.816667,V,CN,M
MACDUFF,GB,57.666667,-2.500000,V,CB,M
SEAHAM,GB,54.833333,-1.316667,S,CT,M
SUNDERLAND,GB,54.916667,-1.366667,M,RT,L
TYNEMOUTH,GB,55.000000,-1.400000,M,RT,L
BLYTH,GB,55.116667,-1.500000,M,RN,M
SYDNEY,AU,-33.866667,151.200000,L,CN,L
BOTANY BAY,AU,-34.000000,151.233333,S,CN,L
PORT KEMBLA,AU,-34.483333,150.916667,M,CB,L
JERVIS BAY,AU,-35.116667,150.800000,V,CN,
BATEMANS BAY,AU,-35.700000,150.166667,V,CN,
EDEN,AU,-37.066667,149.916667,V,CB,M
WELSHPOOL,AU,-38.700000,146.466667,V,CN,M
WESTERN PORT,AU,-38.350000,145.233333,V,CN,L
MELBOURNE,AU,-37.833333,144.966667,L,CN,M
GEELONG,AU,-38.150000,144.366667,M,CN,L
WARRNAMBOOL,AU,-38.400000,142.483333,V,CB,
PORTLAND,AU,-38.333333,141.600000,S,CB,M
KINGSCOTE,AU,-35.633333,137.633333,V,CB,
PORT ADELAIDE,AU,-34.850000,138.500000,M,RN,M
ARDROSSAN,AU,-34.433333,137.916667,V,OR,M
PORT GILES,AU,-35.033333,137.766667,V,OR,M
WALLAROO,AU,-33.933333,137.616667,V,OR,M
PORT PIRIE,AU,-33.183333,138.016667,S,RN,M
FAKFAK,ID,-2.933333,132.283333,V,CN,M
AMAMAPARE,ID,-4.816667,136.966667,S,CN,L
MERAUKE,ID,-8.483333,140.383333,V,RN,M
DARU,PG,-9.066667,143.200000,V,OR,
PORT MORESBY,PG,-9.466667,147.133333,S,OR,M
ALOTOA,PG,-10.316667,150.450000,V,CN,M
SAMARAI,PG,-10.616667,150.666667,V,CN,
SULOGA HARBOR,PG,-9.216667,152.766667,V,CN,
DISCOVERY BAY,PG,-10.416667,150.416667,V,CN,
ORO BAY,PG,-8.883333,148.483333,V,CN,M
LAE,PG,-6.733333,147.000000,V,OR,M
MADANG,PG,-5.216667,145.816667,V,CN,M
CASTELLAMMARE DI STABIA,IT,40.700000,14.483333,V,CB,M
SALERNO,IT,40.666667,14.750000,S,CB,M
VIBO VALENTIA MARINA,IT,38.716667,16.133333,V,CB,M
REGGIO DI CALABRIA,IT,38.116667,15.650000,S,CB,M
MESSINA,IT,38.200000,15.566667,S,CB,L
MILAZZO,IT,38.216667,15.250000,M,OR,M
GIOIA TAURO,IT,38.416667,15.900000,S,LC,M
PORTO DI PALERMO,IT,38.133333,13.366667,S,CB,L
TRAPANI,IT,38.016667,12.500000,V,CB,M
MARSALA,IT,37.783333,12.433333,S,CB,M
MAZARA DEL VALLO,IT,37.650000,12.583333,V,CT,M
ARDRISHAIG,GB,56.016667,-5.450000,V,CN,M
ROTHESAY HARBOR,GB,55.833333,-5.050000,V,CB,
GREENOCK,GB,55.950000,-4.750000,M,CN,L
FINNART OIL TERMINAL,GB,56.116667,-4.833333,S,RN,L
BOWLING,GB,55.933333,-4.483333,V,RN,M
OLD KILPATRICK,GB,55.916667,-4.466667,V,RN,
ROTHESAY DOCK,GB,55.900000,-4.400000,V,RN,
RENFREW,GB,55.883333,-4.383333,V,RB,M
GLASGOW,GB,55.866667,-4.283333,M,RT,L
LARGS,GB,55.800000,-4.866667,V,CN,M
HUNTERSTON,GB,55.750000,-4.883333,V,OR,L
MILLPORT,GB,55.750000,-4.916667,S,CN,
ARDROSSAN,GB,55.650000,-4.816667,S,CB,M
TROON,GB,55.550000,-4.683333,V,CB,M
AYR,GB,55.466667,-4.633333,V,RB,M
STRANRAER,GB,54.900000,-5.033333,V,RB,M
DOUGLAS,IM,54.150000,-4.466667,S,CB,M
RAMSEY,IM,54.316667,-4.366667,S,CB,
ARDGLASS,GB,54.266667,-5.616667,V,CN,M
MARUGAME KO,JP,34.300000,133.783333,V,CB,L
UBE KO,JP,33.933333,131.233333,M,CB,L
URAGA KO,JP,35.233333,139.716667,V,CN,M
TAGONOURA KO,JP,35.133333,138.700000,M,RB,L
SHIMODA KO,JP,34.666667,138.950000,V,CB,
OMAEZAKI KO,JP,34.600000,138.233333,S,CB,M
SHIMIZU KO,JP,35.016667,138.500000,S,CN,L
KINUURA KO,JP,34.850000,136.950000,S,RN,L
GAMAGORI KO,JP,34.816667,137.216667,S,OR,L
NAGOYA KO,JP,35.066667,136.866667,L,CB,L
YOKKAICHI,JP,34.966667,136.633333,M,CB,L
MATSUSAKA,JP,34.600000,136.566667,S,CN,
TOBA,JP,34.483333,136.850000,S,CN,
OWASE KO,JP,34.066667,136.216667,V,CN,L
TANABE KO,JP,33.716667,135.366667,V,CN,M
WAKAYAMA-SHIMOTSU KO,JP,34.200000,135.133333,L,CB,L
SAKAI-SENBOKU,JP,34.550000,135.433333,M,CB,M
AMAGASAKI,JP,34.700000,135.383333,S,CT,M
KOBE,JP,34.650000,135.183333,L,OR,L
PUERTO BAYOVAR,PE,-5.833333,-81.050000,V,OR,L
CORONEL,CL,-37.033333,-73.166667,S,CN,L
PUERTO BELGRANO,AR,-38.883333,-62.100000,S,CB,L
BAHIA BLANCA,AR,-38.783333,-62.266667,V,CN,L
PUERTO INGENIERO WHITE,AR,-38.800000,-62.266667,S,CN,L
PUERTO NACIONAL,AR,-38.800000,-62.283333,V,CN,
PUERTO GALVAN,AR,-38.783333,-62.300000,V,CN,L
SAN BLAS,AR,-40.566667,-62.233333,V,CN,
PUERTO MADRYN,AR,-42.766667,-65.033333,S,CN,L
PUERTO SAN JULIAN,AR,-49.316667,-67.700000,V,CN,M
PUERTO SANTA CRUZ,AR,-50.016667,-68.516667,V,RN,L
PUERTO GALLEGOS,AR,-51.616667,-68.966667,V,RN,L
USHUAIA,AR,-54.816667,-68.300000,S,CN,M
PRINCE OLAV HARBOR,GS,-54.033333,-37.150000,V,CN,
STROMNESS HARBOR,GS,-54.150000,-36.700000,V,CN,
PUERTO SARA,CL,-52.633333,-70.200000,V,CN,L
CALETA CLARENCIA,CL,-52.900000,-70.100000,V,CN,L
PORT SAN JUAN DE LA JUAN,CL,-53.633333,-70.916667,V,CN,
BAHIA HARRIS,CL,-53.850000,-70.450000,V,CN,
CALETA MINA ELENA,CL,-52.683333,-71.900000,V,CN,
GRAND HAVEN,US,43.066667,-86.233333,S,RN,M
HOLLAND,US,42.783333,-86.133333,S,RN,M
SAUGATUCK,US,42.666667,-86.200000,V,RN,M
SOUTH HAVEN,US,42.400000,-86.283333,V,RN,M
ST JOSEPH,US,42.116667,-86.483333,S,RN,M
MICHIGAN CITY,US,41.733333,-86.900000,S,CB,M
GARY,US,41.616667,-87.333333,M,CB,L
BUFFINGTON,US,41.633333,-87.416667,M,CB,L
INDIANA HARBOR,US,41.666667,-87.433333,M,CB,L
CALUMET HARBOR,US,41.733333,-87.516667,M,CB,L
WARKWORTH HARBOUR,GB,55.333333,-1.583333,V,RN,
BERWICK-UPON-TWEED,GB,55.766667,-2.000000,V,RT,M
EYEMOUTH,GB,55.866667,-2.083333,V,RN,
DUNBAR,GB,56.000000,-2.516667,V,CB,M
LEITH,GB,55.983333,-3.183333,M,RT,M
GRANTON,GB,55.983333,-3.216667,V,CB,M
BRAEFOOT BAY TERMINAL,GB,56.033333,-3.316667,S,OR,M
HOUND POINT TERMINAL,GB,56.000000,-3.366667,S,OR,L
ROSYTH,GB,56.016667,-3.433333,S,RT,M
GRANGEMOUTH,GB,56.016667,-3.716667,S,RT,M
BURNTISLAND,GB,56.050000,-3.233333,S,CT,M
METHIL,GB,56.183333,-3.000000,S,CT,M
