lat,lon,at_risk_kwh,total_kwh,fraction,top_gear
2.5,-15.5,1247307,1258354,0.9912,drifting_longlines
-12.5,-131.5,1245959,1267481,0.983,drifting_longlines
-6.5,-147.5,1241321,1405765,0.883,drifting_longlines
-35.5,102.5,1240616,1666144,0.7446,drifting_longlines
-18.5,50.5,1239623,2013031,0.6158,drifting_longlines
11.5,179.5,1235172,1292292,0.9558,drifting_longlines
6.5,65.5,1234902,1256271,0.983,drifting_longlines
-13.5,170.5,1232627,7876928,0.1565,drifting_longlines
-25.5,-173.5,1231335,1377656,0.8938,drifting_longlines
-51.5,-61.5,1231007,6757726,0.1822,trawlers
-8.5,164.5,1230978,1618601,0.7605,drifting_longlines
4.5,145.5,1230014,1543785,0.7968,drifting_longlines
-3.5,63.5,1229358,1249271,0.9841,drifting_longlines
-2.5,-164.5,1229253,1349981,0.9106,drifting_longlines
11.5,180.5,1228728,1361368,0.9026,drifting_longlines
64.5,-7.5,1227798,3709173,0.331,trawlers
2.5,-170.5,1227752,1344726,0.913,drifting_longlines
-11.5,50.5,1227378,1424771,0.8615,drifting_longlines
-36.5,56.5,1226634,1226634,1.0,drifting_longlines
0.5,163.5,1226357,1238488,0.9902,drifting_longlines
-15.5,-121.5,1225347,1693128,0.7237,drifting_longlines
4.5,-19.5,1224779,1400234,0.8747,drifting_longlines
-39.5,156.5,1224716,1761364,0.6953,drifting_longlines
-35.5,60.5,1224280,1243843,0.9843,drifting_longlines
-25.5,35.5,1223119,6827584,0.1791,drifting_longlines
8.5,-21.5,1222259,1454554,0.8403,drifting_longlines
-14.5,60.5,1221061,1248608,0.9779,drifting_longlines
3.5,143.5,1220814,1453992,0.8396,drifting_longlines
0.5,-103.5,1219356,1292786,0.9432,squid_jigger
22.5,140.5,1216403,1436395,0.8468,drifting_longlines
-5.5,167.5,1215344,1495023,0.8129,drifting_longlines
4.5,176.5,1212730,1548185,0.7833,drifting_longlines
-5.5,178.5,1211357,1355258,0.8938,drifting_longlines
-13.5,59.5,1210392,1264071,0.9575,drifting_longlines
12.5,59.5,1210316,1459342,0.8294,squid_jigger
76.5,32.5,1210227,8397835,0.1441,trawlers
60.5,-178.5,1209433,14377768,0.0841,trawlers
32.5,-149.5,1208684,1495609,0.8082,drifting_longlines
13.5,-29.5,1208407,1225598,0.986,drifting_longlines
-0.5,-97.5,1207921,1294274,0.9333,squid_jigger
14.5,152.5,1207537,1502454,0.8037,drifting_longlines
4.5,-21.5,1206378,1264980,0.9537,drifting_longlines
13.5,176.5,1203752,1348446,0.8927,drifting_longlines
10.5,-41.5,1203189,1228818,0.9791,drifting_longlines
46.5,162.5,1202876,1699646,0.7077,squid_jigger
-9.5,166.5,1202642,1494604,0.8047,drifting_longlines
1.5,-167.5,1198197,1309671,0.9149,drifting_longlines
72.5,30.5,1197896,7578858,0.1581,trawlers
-14.5,52.5,1197628,1512779,0.7917,drifting_longlines
-37.5,156.5,1196810,1231624,0.9717,drifting_longlines
-21.5,-77.5,1196369,1372137,0.8719,squid_jigger
64.5,-33.5,1196261,2895562,0.4131,trawlers
18.5,154.5,1195948,1215086,0.9842,drifting_longlines
34.5,142.5,1195051,1244235,0.9605,drifting_longlines
-1.5,55.5,1194275,1261809,0.9465,drifting_longlines
-2.5,-141.5,1193871,1377488,0.8667,drifting_longlines
10.5,-29.5,1193301,1501513,0.7947,drifting_longlines
16.5,160.5,1189232,1410402,0.8432,drifting_longlines
