case,country,latitude,longitude,accuracy,matched_terms,impacts,url
"Illegal logging, land grabbing and deaths of Zé Claudio and Maria do Espirito Santo, Pará, Brazil",Brazil,-4.5516,-49.0437,MEDIUM regional level,slavery,"” Can you elaborate? FM: I mean the genocides, ethnocides, epistemicides, slavery, forced displacement of social groups, dispossession and the disruption of social systems.",https://ejatlas.org/conflict/2587
"Artisanal Small-scale Gold Mining, Uganda",Uganda,0.5575,31.395,LOW country/state level,child labour,"Unregulated gold mining has been leading conflicts in the mining sector, competing in land uses, smuggling of gold, child labour, human rights abuses, environmental and human health concerns and tax revenue losses (1).",https://ejatlas.org/conflict/2653
"IOI palm oil operations destroy Ketapang Peat Landscape, Indonesia",Indonesia,-2.920306,110.729694,HIGH local level,child labour,"mpaing, Greenpeace blockeded palm oil imports from Malaysian trader IOI at Rotterdam harbour in protest at the firm's involvement in forest destruction, peatland, fires and use of child labour [3].",https://ejatlas.org/conflict/2840
"Palm oil plantations in Lokutu, Yaligimba, and Boteka, Agro-Colonialism by Feronia Inc., RDC","Congo, Dem. Rep.",1.1308317270806236,23.623695373535156,HIGH local level,modern slavery; servitude; slavery,"Yet, working for Feronia can be considered as a form of modern slavery as the company is accused of violating rights of the agricultural workers.",https://ejatlas.org/conflict/3012
"Makwa Initiative against Enbridge's Line 3 Replacement Project, USA",United States of America,46.792528,-92.513176,HIGH local level,human trafficking,"This has lead to heightened levels of cancer and other diseases among Cree and Dene First Nation communities, in addition to increases in sexual abuse, human trafficking, and murder [3.",https://ejatlas.org/conflict/3285
"Beirut incinerators expansion plans and wastepickers struggle, Lebanon",Lebanon,33.897777013859475,35.53665161132813,HIGH local level,child labour,"f cases, Syrian refugees have also been required to sign commitments to not work [16], which obviously increases the financial pressure on families and explains the high amount of child labour in the informal recycling sector.",https://ejatlas.org/conflict/3310
"Cobalt Mining in Bouazar and workers' struggle, Morocco",Morocco,30.53333,-6.91667,HIGH local level,slavery,,https://ejatlas.org/conflict/3357
"Tin Mining Conflicts in Bangka-Belitung, Indonesia",Indonesia,-2.8772079526533365,107.07275390625001,MEDIUM regional level,child labour,"Cases of child labour have been reported, and the industry causes the death of approximately 150 miners every year (3) (4).",https://ejatlas.org/conflict/3369
"Ban of rat hole mining across Meghalaya, India",India,25.449,92.056,MEDIUM regional level,child labour; human trafficking,in/article/901520/assaulted-meghalaya-activist-has-a-long-track-record-of-speaking-up-against-illegal-coal-mining Impulse NGO Network addressed human trafficking and child labour in the rat-hole coal mines of the Jaintia Hills district.,https://ejatlas.org/conflict/3383
"Lawpita and Mobye dam, Balu Chaung River, Karenni state, Myanmar",Myanmar,19.788,97.094,HIGH local level,forced labour,"The arrival of the military was accompanied by a depressive account of human rights abuses, such as forced labour, sexual violence and rape, and extrajudicial killings (see the KDRG report [1] for more details and personal testimonies).",https://ejatlas.org/conflict/3512
"Weigyi dam on the Salween River, Karen and Karenni state, Myanmar",Myanmar,18.337,97.559,HIGH local level,forced labour,"th other dam construction cases in Myanmar (see related conflicts, below and 3), militarization is commonly accompanied by severe human rights abuses, including forced relocation, forced labour, forced land confiscation and violence [1,2,3,4].",https://ejatlas.org/conflict/3518
Ashaninka of Rio Amônia and Saweto against illegal loggers at border Peru-Brazil,Brazil,-9.3535,-73.0893,MEDIUM regional level,forced labor,"While the timber business has flourished, the Ashaninka communities faced existential pressures and suffered from forced labor for loggers, diseases, the introduction of alcoholism, and cultural loss – an era which they consider today as the worst in the community’s history.",https://ejatlas.org/conflict/3586
"Landless farmers and rubber tappers displaced by cattle rancher in Capixaba, Acre, Brazil",Brazil,-10.2652934,-67.8166687,HIGH local level,slavery,"[2] [3] The rapidly extending rubber frontier traded on a system of semi-slavery, violently incorporating a large part of the indigenous population as workforce to then create dependencies.",https://ejatlas.org/conflict/3587
"Slave and forced labor in the seafood industry, Thailand",Thailand,13.75,100.49,,child labour; debt bondage; forced labor; forced labour; modern slavery; slave labor; slave labour; slavery; trafficked,"3637 Thailand Slave and forced labor in the seafood industry, Thailand 100.",https://ejatlas.org/conflict/3637
"New airport on the island of Barbuda, Antigua and Barbuda",Antigua and Barbuda,17.6229541,-61.7930167,HIGH local level,slavery,"Barbudans objected that this would force them to buy land they have owned collectively for nearly two centuries, since 1834, when Britain abolished slavery in its colonies.",https://ejatlas.org/conflict/3707
"Upper Paunglaung Dam, Shan State, Myanmar",Myanmar,19.756,96.593,HIGH local level,forced labour,"A report from the civil society group Kayan Women’s Union informed about grave abuses, such as forced labour and displacement.",https://ejatlas.org/conflict/3727
"Messer`s Super Bricks Threatens Orchards of Farmers, Bangladesh",Bangladesh,23.126895,89.145581,MEDIUM regional level,bonded labour,"The labourers, in turn, are also treated as bonded labours since during the entire production period, they can't leave the area and they get their salaries only at the end of the production period.",https://ejatlas.org/conflict/3756
"Illegal gold mining in La Pampa and Tambopata National Reserve, Peru",Peru,-12.8963,-69.9874,MEDIUM regional level,human trafficking; slavery,"[2] [3] [10] [12] [14] This has especially triggered the sex business and associated human trafficking, which has become a major issue in the mining region.",https://ejatlas.org/conflict/3830
"Buxa Tiger Reserve, West Bengal, India",India,26.622,89.614,HIGH local level,indentured; slave labour,The creation of ‘forest villages’ in the colonial times turned&nbsp; these communities into indentured slave labour who had to work without wages for the british and were forced to sign agreements with the forest department to that effect [4].,https://ejatlas.org/conflict/3893
"Plantation de Haut Penja, Cameroon",Cameroon,4.584,9.655,MEDIUM regional level,slavery,"According to the workers, this is modern day slavery because their lands are exploited and it creates damage to their local economy.",https://ejatlas.org/conflict/3910
"Bardia National Park (BNP) and Sonaha indigenous minorities, Nepal",Nepal,28.572763501253345,81.23977661132814,HIGH local level,bonded labor,,https://ejatlas.org/conflict/4022
"Highly polluting paper factories in Africatown, Alabama, US",United States of America,30.69343064607602,-88.0434036254883,HIGH local level,slavery,"The site of the last slave ship to come to the United States in 1860, Africatown was formed as a small community by a group of 32 West Africans after slavery was abolished [1].",https://ejatlas.org/conflict/4200
"Economic woes, plastic packaging and children wastepickers in Tehran's “Dirt Gold Mafia”, Iran","Iran, Islamic Rep.",35.689,51.388,MEDIUM regional level,child labor,"com/articles/people/70649/tm-trash-mafia-and-lack-of-responsibility

Children without childhood, the grim reality of Iran child laborers (06/2018)
https://iran-hrm.",https://ejatlas.org/conflict/4375
"New Bwindi Impenetrable National Park, Uganda",Uganda,-1.0372393968112412,29.712277650833133,HIGH local level,bonded labour,"ho were evicted to pave the way to the National Park in 1990, never got any compensation by the government and they never got any alternative land [1,14,15]They now work as bonded labourers on small sugar cane or banana plantations [1,14].",https://ejatlas.org/conflict/4747
"Rio Blanco, Molleturo, Azuay, Ecuador",Ecuador,-2.879,-79.4009,MEDIUM regional level,modern slavery; slavery,"There is a huge difference with them: modern slavery, prostitution, money laundering, zero taxes or royalties, environmental damage.",https://ejatlas.org/conflict/4769
"International cooperation improves wastepickers' conditions, North-Eastern Jordan",Jordan,32.339,36.205,MEDIUM regional level,child labour,"Furthermore, the UNDP is in charge of securing that the labour contracts protect wastepickers from exploitation and child labour [10].",https://ejatlas.org/conflict/4857
"Kerr-McGee Cimarron Nuclear Fuel Fabrication Site in Oklahoma, USA",United States of America,35.8895,-97.6017,HIGH local level,forced work,"Former department heads also confirmed that the plants regularly forced workers to continue working despite there being leaking pipes, leaking containers, spills, and defective equipment, causing frequent contamination [5].",https://ejatlas.org/conflict/4871
Formosa Toxic Waste Spill and Marine Life Disaster in Central Vietnam,Vietnam,18.1119,106.4081,HIGH local level,human trafficking; trafficked,"Moreover, according to experts monitoring human trafficking, the environmental disaster at Ha Tinh and its resulting mass loss of livelihood to local fishing communities led to increased trafficking of young Vietnamese women to Europe [19].",https://ejatlas.org/conflict/4881
"Marathon Oil Refinery in Detroit, Michigan, USA",United States of America,42.282,-83.154,HIGH local level,slavery,,https://ejatlas.org/conflict/4889
"Sand mining in Vasai Creek, Mumbai, India",India,19.361,72.818,HIGH local level,slavery,"com/article/us-india-slavery-sand-mining-insight/indian-miners-drowning-for-sand-despite-government-crackdown-idUSKBN1KY00G

Rawat, B.",https://ejatlas.org/conflict/4911
"Unrestricted charcoal production in Puntland, Somalia",Somalia,9.7866,49.3653,MEDIUM regional level,forced labor; human trafficking,,https://ejatlas.org/conflict/4916
"Dumpsite pollution and waste pickers struggle in Siem Reap, Cambodia",Cambodia,13.30617,104.035106,HIGH local level,child labor,"vil society initiatives such as Plastic Free Cambodia are now aiming to reduce waste and increase recycling in Siem Reap; some NGOs also seem to have tried to tackle the issues of child labor and poverty in communities such as Anlong Pi, often trying to provide education and alternative ways to make a living from manufacturing products fr",https://ejatlas.org/conflict/5005
"Geraizeira communities against land enclosure through Fazenda Estrondo, Bahia, Brazil",Brazil,-11.192818,-46.325373,MEDIUM regional level,slavery,"In 2005, 39 workers of the soy-producing Fazenda Austrália, belonging to CMOB, were found working in slavery-like and degraded conditions.",https://ejatlas.org/conflict/5094
"Textile industries and pollution in Tehuacan, Mexico",Mexico,18.466506,-97.400379,HIGH local level,child labor; child labour,"conditions in the maquilas of the major brands were achieved, such as the installation of firefighting equipment, courses on industrial safety and behavior, and the elimination of child labor.",https://ejatlas.org/conflict/5109
"Zama zama diamond mining in Kimberley, South Africa",South Africa,-28.7583,24.79308,HIGH local level,human trafficking,"all informal mining is small-scale and artisanal, because international crime syndicates often run complex operations worth over $400,000,000 annually used to fund gun smuggling, human trafficking, and the drug trade.",https://ejatlas.org/conflict/5118
"Ecological and sanitary disaster in the cobalt mines of Kolwezi, DR Congo","Congo, Dem. Rep.",-10.716948041418977,25.469741821289062,HIGH local level,child labor,"[13] V V 0 0 0 0 V 0 P V V Congenital malformations; high concentrations of trace metals in the urine of people living in the mines [14] V P V V V P 0 0 P V 0 0 0 exploitation of child labor [11] [14] Metal mining and birth defects: a case-control study in Lubumbashi, Democratic Republic of the Congo.",https://ejatlas.org/conflict/5152
"Mairykhsky and Beyskiy-Zapadniy areas of the Beyskoye coal field, Russia",Russian Federation,53.56,91.49,HIGH local level,forced labour,,https://ejatlas.org/conflict/5182
"Tomato farmworkers organizing to gain better working and living conditions in Immokalee, Florida, USA",United States of America,26.418307,-81.450574,HIGH local level,forced labor; modern slavery; slave labor; slavery,"418307 HIGH local level In 1997, a series of seven trials all found cases of slavery operation in the state of Florida involving over 1,000 workers, causing the accountability of cases of forced labor to become more common in the United States [1].",https://ejatlas.org/conflict/5370
"Racism and environmental harms in El Ejido on the Campo de Dalías, Almería, Spain",Spain,36.73,-2.77,MEDIUM regional level,slavery,"The situation in El Ejido is described as ""modern-day slavery"" [1].",https://ejatlas.org/conflict/5578
"Enbridge natural gas compressor in North Weymouth, MA, USA",United States of America,42.244507,-70.963404,HIGH local level,trafficked,"5 miles of the site are a number of schools (3,000+ students), housing for the elderly, nursing homes, a mental health facility, and the Fore River Bridge (heavily trafficked by 30,000 commuters per day) [1][2].",https://ejatlas.org/conflict/5736
"Protecting Tongpo sacred mountain from coal coking mill, Qinghai province, China",China,36.99076,98.5319,HIGH local level,forced work,"They again turned off the machinery, took apart tents, and forced workers to leave the facility.",https://ejatlas.org/conflict/5818
"Community Resistance to Archer Solar Project and Sand Bluff Solar Project in Florida, USA",United States of America,29.534581,-82.51499,HIGH local level,slavery,"Per Crawford, African American families in Archer had purchased the nearby land and cared for it for upwards of a century, during and after the time of slavery in the United States [1].",https://ejatlas.org/conflict/6048
"Dixie Meadows Geothermal Plant, Nevada, USA",United States of America,39.7904677,-118.081282,HIGH local level,slavery,"White settlers moved into Paumu in the mid-1800s, with Confederate sympathizers naming it “Dixie Valley” in reference to the term used for the slavery-era American South [9].",https://ejatlas.org/conflict/6121
Barbuda Ocean Club. Antigua and Bermuda.,Antigua and Barbuda,17.5958,-61.8506,HIGH local level,slavery,,https://ejatlas.org/conflict/6307
"Illegal, unreported and unregulated fishing (IUU) by Chinese fleet in Galapagos Islands, Ecuador.",Ecuador,-0.5273,-90.6152,MEDIUM regional level,forced labour,"eing the largest in the world and often implicated in overfishing, fishing of endangered species, unlawful intrusion of of EEZs, false licencing and catch documentation and use of forced labour [27][28].",https://ejatlas.org/conflict/6327
